00:00:00	优优独播剧场——YoYo Television Series Exclusive
00:00:30	那么有人经常问
00:00:31	你工程师这好像是一个很普通的头衔
00:00:34	所以我想这里跟大家分享一下我的一些体会
00:00:37	工程师是真的是我的一个毕生的追求
00:00:40	是我的一个职业
00:00:41	是我的一个事业
00:00:43	因为工程师它是一种造物的一种身份
00:00:46	一种对象
00:00:48	而很多头衔呢
00:00:49	在我看来呢
00:00:50	尤其经历了很多事情之后就发现
00:00:53	那都是别人给的
00:00:54	那是什么呢
00:00:55	那是一种职称
00:00:55	那是一种职务
00:00:56	是一种职位
00:00:57	作为工程师来讲
00:00:58	一旦秉立了
00:00:59	秉承了
00:01:00	说这一辈子
00:01:01	我们就是在不断探索认知的边界
00:01:04	不断地去找到更好的
00:01:07	基于以人为本的这种原则
00:01:10	改造世界
00:01:11	为人类谋取福祉的方法的话
00:01:13	那就是我觉得是一个非常幸福的工程师
00:01:16	我的目标呢
00:01:17	就想成为一名这样的
00:01:18	一个非常幸福的工程师
00:01:20	当然正是这样
00:01:21	也能理解到能力越大
00:01:23	损失越大
00:01:24	所以呢
00:01:25	正是秉持这样的原则
00:01:26	不断地探索
00:01:28	不断地前行
00:01:29	在过程中
00:01:29	犯了很多错误
00:01:31	吸取很多教训
00:01:32	那么也成为跟大家分享的内容
00:01:34	首先呢
00:01:35	我要讲呢
00:01:36	我自己的经历的话呢
00:01:38	确实亲身经历了
00:01:40	这么几十年的
00:01:41	因为信息技术的进步
00:01:43	而对人类社会产生的巨大的冲击
00:01:46	当然也有很多正面的影响
00:01:48	这是我走入职场的第一份工作
00:01:51	是90年代初
00:01:52	那时候叫什么
00:01:53	叫DTP
00:01:54	桌面照牌系统
00:01:56	桌面牌板
00:01:57	那么这个话呢
00:01:58	它的一个最深的影响
00:01:59	是什么呢
00:02:00	就把一批
00:02:01	其实那时候也是高级知识分子的一批
00:02:03	执字员
00:02:04	能够在一个板上面
00:02:07	从几千个汉字的那种签字中
00:02:10	挑出合适的字模
00:02:12	把它排到一个字匣中
00:02:15	用来做印刷
00:02:16	这是一件很高级的工作
00:02:19	而且呢
00:02:20	也是一个收入不错的工作
00:02:22	怎么样呢
00:02:24	就因为计算机的出现
00:02:25	一个叫做DTP
